,title_text,label,label_score
0,laku pukul brutal anak anggota dpr tol tangkap,true,2
1,panglima dukung tumpas teroris kkb papua indonesia sambut g20,true,2
2,ccipp tingkat kualitas sdm dukung ikn diklat,true,2
3,survei smrc puas kerja jokowi,true,2
4,erick thohir ajak puan retno triawan sarinah lihat karya seni pajang pusat belanja,true,2
5,dokter tinggal vaksin,true,2
6,cuaca buruk harga cabai bawang merah bandung lonjak,true,2
7,achoy suara tujuh sedia musprovlub bola tangan dki,true,2
8,jalan wisata desa mangli rusak unjung wisata jeglongan sewu,true,2
9,ridwan kamil sosok eril anak yatim duafa,true,2
10,harga tiket candi borobudur rp750 ribu senator diy lihat,clickbait,0
11,umkm bina baznas ramai ajang internasional formula,true,2
12,setda banda aceh aminullah asmabar adakan rapat kuat organisasi,true,2
13,hasto kristiyanto dapat foto puan maharani anies baswedan saksi balap mobil balap listrik kelas dunia cenderung masyarakat,true,2
14,candesartan obat bantu jaga tekan darah kendali obat obat gagal jantung dosis efek samping,true,2
15,video unggah momen sama atalia sang putra kalimat rindu semat unggah,true,2
16,top gun maverick kuasa box office amerika pekan,true,2
17,listrik padam kemarin ajar pelalawan sulit ajar,true,2
18,afm libat pukul lapor korban afm ketua pemuda peju bravo rawan menang jokowi ruf amin anak politis pdip,true,2
19,ceo tesla elon musk umum mangkas karyawannya alas putus musk milik asa buruk ekonomi usaha,true,2
20,gelar motogp sirkuit mandalika indonesia gelar balap mobil world challange asia,true,2
21,perintah tindak lanjut hasil leaders retreat indonesia singapura 2022,true,2
22,ridwan kamil sosok eril anak yatim duafa,true,2
23,laku turun bendera merah putih proses hukum,true,2
24,gara gara acung jari justin frederick bonyok pukul jalan tol kota,true,2
25,anggota dpr alas naik harga tiket candi borobudur rp750 ribu,true,2
26,sidak takjil pasar tradisional dinas sehat pasti aman awet,true,2
27,total unjung formula ribu orang,true,2
28,pelat hitam ganti putih pelat merah kuning,true,2
29,ustadz adi hidayat uah sebut eril anak sulung ridwan kamil renung air eril arsy allah swt air,true,2
30,ceo yandex arkady volozh mundur,true,2
31,amat politik nilai ajang formula anies keras dki,true,2
32,tambang transfer 195 663 koin bursa kripto mei,true,2
33,populer luhut umum perintah naik harga tiket masuk candi borobudur 750 ribu turis lokal usd 100 turis mancanegara,true,2
34,raih juara karya ilmiah taruna sttd cipta listrik metode piezoelectric bandara,true,2
35,putra ridwan kamil wafat dubes palestina belasungkawa,true,2
36,berita baru virus corona beijing tahap cabut batas pekan,true,2
37,formula jakarta tuntas gelar sirkuit ancol gubernur dki jakarta anies baswedan sembah gelar internasional pertiwi,true,2
38,gage titik dki jakarta uji coba besok tilang lokasi terap juni 2022,true,2
39,dinas sehat makassar sidak takjil pasar tradisional antisipasi awet,true,2
40,spanyol kali raih hasil imbang laga gru uefa nations league,true,2
41,direktorat jenderal pajak ditjen pajak menteri uang integrasi nomor npwp nomor induk duduk nik implementasi 2023,true,2
42,cuaca ekstrem kendal puluh rumah rusak pohon tumbang tower radio roboh,true,2
43,pusat kendali operasi bnpb lapor bakar hutan lahan karhutla wilayah kabupaten kampar provinsi riau padam jumat peristiwa kamis wib,true,2
44,sekretaris kpu bondowoso terap manager meeting rutin minggu sekretaris kasubbag lingkung sekretariat kpu bondowoso senin 2022,true,2
45,rumah lahir karno jalan pandean gang surabaya jadi museum rencana wali kota surabaya eri cahyadi,true,2
46,populer kabar muncul harimau jawa sukabumi sambut bahagia perintah harimau nyata punah,true,2
47,sekjen pdip beber kriteria sosok capres 2024 versi pdip hasto capres keliling indonesia nali rakyat,true,2
48,perintah provinsi lampung harap program magang buka dinas tenaga kerja provinsi lampung usaha lampung redam angka anggur,true,2
49,sebar wabah pmk kabupaten sampang camat tambah enam camat,true,2
50,wisma atlet rsdc resmi tutup juli 2022 covid selesai,false,1
51,west ham jalin komunikasi serang gabriel barbosa flamengo,true,2
52,ratus paket sembako perabot rumah tangga korban banjir akibat luap bengawan njero,true,2
53,erick thohir hadir istighosah pondok pesantren amanatul ummah,true,2
54,bas warga makassar rugi rp10 miliar tipu investasi bodong tambang digital,true,2
55,revitalisasi tugu pamulang capai persen tinggal atap,true,2
56,bahar smith tetap sangka kuasa hukum duga sponsor belakang,true,2
57,eijkman lebur brin pks khawatir teliti intervensi politik,true,2
58,nasib malang alami wanita anggota pasu melati kota medan surtinem motor honda beat milik raib curi bersih jalan jalan agus salim kota medan,true,2
59,denny siregar polda jabar jalan,true,2
60,menteri sehat positif covid varian omicron indonesia 150,true,2
61,lapor jahat benci anti muslim tingkat,true,2
62,dpo teroris mit poso sulteng ahmad tewas tembak satgas madago raya jenazah makam area makam makam ali kalora,true,2
63,asn agama islam lingkung pemprov sumbar wajib absen subuh,true,2
64,anies baswedan nostalgia makan warteg kawasan ancol jakarta utara anies makan warteg foto meme,true,2
65,nashrudin azis bidik kursi dpr wali kota cirebon,true,2
66,gaga muhammad tuntut hukum penjara denda juta jpu sim milik gaga kembali,true,2
67,hari vaksin siswa magetan tinggal dunia,true,2
68,irfan jauhari antusias cicip liga bela klub persija jakarta persija liga1,true,2
69,mahasiswa ugm raih juara lomba debat bahasa nasional,true,2
70,ipw nilai polda jabar copot sidik mangkrak,true,2
71,kerja polisi tangan duga ujar benci sorot publik,true,2
72,covid varian omicron cetak rekor ribu sekolah negeri paman sam tunda buka didik tatap muka jadwal minggu,true,2
73,reforma agraria perintah lampau target legalisasi aset,true,2
74,idi usul jepara bangun rsj bupati andi dkk laku kaji,true,2
75,skk migas rok produsen minyak besar 2022,true,2
76,pimpin hong kong bantah bebas pers ambang punah,true,2
77,kelompok milenial apresiasi polri cepat atas laku intoleran,true,2
78,agen tegas christian eriksen buka suara kait lanjut karier,true,2
79,mercedes benz vision eqxx debut batal lantai ces 2022,true,2
80,emma watson suara dukung palestina,true,2
81,empat sangka bekuk polisi duga peran aplikasi pesan perkosa korban,true,2
82,jadi bakar tanggung turun pandemi,true,2
83,vaksinasi booster covid indonesia pada12 januari 2022,true,2
84,indonesia catat 299 covid selasa januari 2022 dki sumbang 115,true,2
85,kemendikbudristek bongkar dampak negatif pandemi dunia didik,true,2
86,bakar hangus unit rumah lingkung lurah salomallori camat duapitue selasa januari 2022 wita rumah milik pasang suami istri aksan tahir asriani,true,2
87,bek chelsea antonio rudiger incar klub eropa,true,2
88,dokter aku netral darah candu narkoba cianjur pasang tarif juta suntik,true,2
89,negara sepakat janji antinuklir china dorong indonesia suara,true,2
90,bahar sidik polda jabar butuh lapor periksa tahan lapor denny siregar dkk tahun proses,true,2
91,pertamina hulu rok bor sumur eksplorasi buru cadang migas nonkonvensional blok rok,true,2
92,kelompok radikal teroris karakter antikearifan lokal agama,true,2
93,eks ceo bukalapak rachmat kaimuddin resmi gabung kemenko maritim investasi pimpin luhut binsar pandjaitan,true,2
94,disdik dki mengakomodir orang tua izin anak ptm,true,2
95,muslim taubat dosa,true,2
96,kabupaten kota jatim gelar ptm 100 persen gubernur khofifah wajib prokes ketat ptm khofifah,true,2
97,israel lapor temu infeksi gabung virus influenza virus corona flurona sorot menteri sehat israel khawatir,true,2
98,apindo nilai gubernur milik dasar hukum,true,2
99,buron anggota mit poso tewas kontak tembak,true,2
100,ketua bapera kota gorontalo p21 hukum sangka,true,2
101,mahfud tegas perintah serius tuntas ham berat,true,2
102,ceo formula alberto longgo tampik jakarta bayar kota nama dunia helat ajang balap mobil listrik puji tim indonesia negosiasi gigih,true,2
103,kait isu pilih venue formula tentu presiden tegas tanggung perintah daerah selenggara dinamika selenggara sepenuh domain buat bijak tingkat daerah,true,2
104,konsumsi obat alami turun gula darah olahraga atur minum air,true,2
105,tito sorot realisasi belanja daerah persen jelang dasar data tampil tito realisasi belanja pemprov sumut triliun total anggar rp13 triliun,true,2
106,mendagri tito pemda cepat realisasi belanja apbd,true,2
107,surat buka korban leceh seksual kampus tanggap serius,true,2
108,ketua dpr puan maharani kesiap indonesia tuan rumah selenggara ipu general assembly serta 5wcsp wina austria,true,2
109,motif istri ganas keroyok anak malang korban perkosa suami,true,2
110,gugat ptun tolak kubu moeldoko buka peluang banding,true,2
111,apresiasi pemda apbdnya mendagri,true,2
112,bupati aceh barat ajak digital media bangkit semangat investasi aceh,true,2
113,pemkab nagan raya selenggara training trainer kerja,true,2
114,raih juara ajang pentas pai tingkat provinsi aceh bupati bonus raihana shafa thahira,true,2
115,aminullah banda aceh oki sinergi maju sektor pariwisata,true,2
116,demo buruh patung kuda panas massa nyala flare,true,2
117,bentrok ormas rebut limbah ekonomis salah pabrik karawang,true,2
118,apresiasi ptun tolak gugat kubu moeldoko menkumham objektif,true,2
119,perintah perintah dpr baik cipta kerja,true,2
120,bupati mamteng rhp bantu bangun masjid arafah 100 juta papua,true,2
121,izham bekal niaga tiada pilih paksa naik harga ikut kos bahan import,true,2
122,musik kencang acara nikah sebab ekor ayam mati dadak ayam mati serang jantung,true,2
123,kisah inspiratif guru nama asdilita guru sandang disabilitas serah ajar mts negeri andal,true,2
124,hujan deras guyur lamongan akibat jalan lantar tutup longsor tanggul sawah tegal lamongan,true,2
125,anies lokasi formula tentu tim feo imi jakpro,true,2
126,mendagri realisasi apbd pemprov sumut persen,true,2
127,stafsus setneg kait formula tanggung pemprov dki,true,2
128,menteri ketenagakerjaan ida fauziyah cepat salur bantu subsidi upah bsu 2021 kerja bantu salur 7163043 orang,true,2
129,bandung raya dampak siklon tropis paddy,true,2
130,dprd lapor jaksa kejat sulawesi selatan sulsel,true,2
131,jamie carragher jengkel trio mnm tampil malas malas,true,2
132,fpks dpr tolak cipta kerja ingat susun cermat libat stakeholder seksama,true,2
133,kapolres jakpus murka perwira polisi keroyok pemuda pancasila,true,2
134,masterplan cepat bangun pulau sumba ntt,true,2
135,menko ekonomi airlangga hartarto perintah patuh putus mahkamah konstitusi baik cipta kerja,true,2
136,hadap milu 2024 demokrat surabaya gelar sekolah politik,true,2
137,mendagri tegur pemda serap belanja rendah,true,2
138,pan dukung mui jakarta bentuk cyber army lawan hoax,true,2
139,cipta kerja tentang uud 1945,true,2
140,ketua dprd dki jakarta prasetio edi marsudi presiden joko widodo libat tentu sirkuit formula tuding dompleng nama jokowi lancar balap formula kota,true,2
141,strategi erick thohir bantu usaha kelas,true,2
142,anies lokasi formula tentu presiden jokowi,true,2
143,dewan eropa tuntut austria tarik peta islam kontroversial publikasi peta musuh umat islam potensi kontraproduktif badan hak asasi manusia eropa nyata,true,2
144,nasib ppkm tentu ahli nilai bijak aman cabut tren kembang covid pekan,true,2
145,formula jakarta tuntas gelar sirkuit ancol gubernur dki jakarta anies baswedan sembah gelar internasional pertiwi,true,2
146,dinas tahan pangan tani kota blitar gelar sosialisasi antisipasi pmk ternak,true,2
147,desa maju rata ganjar kades laku sempat ganjar dorong transformasi desa mandiri sejahtera,true,2
148,hilang jenderal tewas rusia hilang jenderal akibat pecat presiden putin kait mulus invasi ukraina,true,2
149,pemkot makassar protes kemendagri naik ppkm level,true,2
150,putus asn jenis pns pppk tenaga honorer hapus ganti sistem outsourcing,true,2
151,perintah pasti 193 954 guru lulus p3k formasi,true,2
152,taman wisata candi tiket candi harga rp5 ribu ajar pes reservasi sekolah orang ajar kena harga tiket wisatawan lokal rp750 ribu,true,2
153,alphard pelat rfz terobos jalur cfd bundaram jakarta pusat pagi sopir mobil nekat melitas halau tugas,true,2
154,komika sutradara ernest prakasa sorot publik unggah cuit akun twitternya ernestprakasa minggu 2022,true,2
155,rkuhp orang demonstrasi izin penjara,clickbait,0
156,ansor dki sayang nama nabi muhammad sanding alkohol,true,2
157,bank dunia stimulus ekonomi makro indonesia hasil memitigasi dampak pandemi covid,true,2
158,komjak puji kompak erick thohir jaksa bersih bersih bumn,true,2
159,larang warga jakarta barat jakbar makan kucing liar kontroversi polemik rencana selesai mediasi,true,2
160,ratus rawan indonesia tageh deklarasi lanyalla the next president,true,2
161,pimpin pondok pesantren ponpes kabupaten subang tangkap duga perkosa abg murid,true,2
162,senjata api sebab anak buya arrazy hasyim tinggal tembak milik anggota polri anggota polri tarik mabes polri,true,2
163,kpk indonesia corruption watch icw ada temu diskus upaya berantas korupsi vonis hukum perkara korupsi,true,2
164,narapidana kendali selundup narkoba sabu muhammad sulton vonis bebas tanjungkarang sulton tuntut mati,true,2
165,menteri atr kepala bpn sesuai perintah presiden ptsl cepat,true,2
166,misteri kedung sungai bengawan solo keramat kerap celaka,clickbait,0
167,kpk hadir rapat dengar dapat program berantas korupsi integrasi aparat tegak hukum provinsi sumatera barat,true,2
168,konferprov pwi pemprov riau ajak insan pers tangkis berita hoax,true,2
169,ansor dki holywings maaf ummat,true,2
170,senjata api sebab anak buya arrazy hasyim tinggal tembak milik anggota polri anggota polri tarik mabes polri,true,2
171,mantan mendag muhammad lutfi panggil jaksa agung saksi duga korupsi beri fasilitas ekspor cpo minyak goreng,true,2
172,ungkap buang sisa material warga,true,2
173,harga daging sapi alami anomali harga pantau minta dagang mering pedih,true,2
174,bnpt sebut kelompok khilafatul muslimin organisasi teroris khilafatul muslimin organisasi intoleran,true,2
175,bendahara pbnu politikus pdip mardani maming sangka kpk harta,true,2
176,hadir rakernas forki menteri atr bpn had tjahjanto apresiasi karateka nasional lantik pengprov,true,2
177,menteri atr kepala bpn had tjahjanto kunjung kerja pertama resmi lantik presiden joko widodo,true,2
178,tangan konflik agraria menteri atr bpn pasti giat ekonomi masyarakat jalan,true,2
179,spesial presiden joko widodo jokowi juni lahir,true,2
180,lantik urus hmi cabang pulau meranti pesan wabup asmar,true,2
181,lutfi bongkar libat minyak goreng,true,2
182,cetak sdm tani unggul suluh,true,2
183,islamofobia inggris tangan wajib,true,2
184,djarot saiful hidayat kritik program entas miskin anies dki djarot aku program konkret bantu rakyat miskin,true,2
185,ganti internet explorer lebih kurang microsoft edge,true,2
186,bintang internasional senegal tinggal anfield enam sama pindah kampiun bundesliga,true,2
187,ketua pdi juang megawati soekarnoputri ingat keras kader partai manuver politik calon presiden milu 2024,true,2
188,menteri dagang zulkifli hasan target harga minyak goreng curah turun rata daerah 000 liter,true,2
189,mantan malaysia mahathir mohamad malaysia klaim singapura pulau riau kemenlu informasi kait kbri kuala lumpur,true,2
190,kapolres aceh barat ajak wartawan bantu polri jaga kamtibmas,true,2
191,megawati nilai amendemen uud 1945 kali tuju wenang mpr road map,true,2
192,ditjen imigrasi deportasi wna kait tipu bansos jepang,true,2
193,protes anies baswedan anggap hambur hambur apbd penting warga miskin kota,true,2
194,taman tjimanoek aku nasional ekoriparian menteri lhk,true,2
195,megawati tentu calon presiden 2024 pdip megawati kader manuver jelang 2024,true,2
196,putus anwar usman mundur kursi ketua,true,2
197,daftar tim lolos empat final piala presiden 2022,true,2
198,perintah terap ketat atur covid masyarakat wajib terima vaksin dosis tiga daftar giat wajib booster,true,2
199,bupati gowa harap fkub cipta situasi aman tentram,true,2
200,viral media sosial kisah tumpang alami leceh seksual kereta api kota,true,2
201,corona indonesia ngegas lampau ribu enam idi tes pcr syarat jalan,true,2
202,motivasi kontingen popda tingkat provinsi sulsel gubernur andi sudirman hadiah spesial,true,2
203,latih persib bandung harap laga empat final hadir bobotoh,true,2
204,wagub dki ahmad riza patria aku tambah wajib commitment fee formula miliar,true,2
205,cerita taufik hidayat tolak suap malaysia asi games,true,2
206,fosil hewan purba temu lokasi eksavasi fosil kura kura buaya kabupaten subang fosil hewan purba temu jenis sapi sapi,true,2
207,pemprov dki jakarta gratis tarif angkut transjakarta mrt lrt jakarta besok,true,2
208,gempa magnitudo guncang sabang aceh,true,2
209,anwar usman nilai mundur ketua,true,2
210,forum dokter susah praktik tuding idi sulit izin dokter lulus negeri kultur feodalisme picu eksploitasi calon spesialis soal,true,2
211,presiden kurban sapi bengkulu berat ton,true,2
212,viral medsos toilet spbu pasar kemis mewah hotel masyarakat betah ngadem,true,2
213,rejang lebong tunggu selesai tapal batas kepahiang,true,2
214,potensi tular pmk rusa milik karakteristik beda sapi,true,2
215,orang sadar risiko alami stroke sakit golong silent disease serang,true,2
216,cerita wisatawan gunung bromo palak oknum ojek kuda viral media sosial lantar wisatawan rekam oknum ojek kuda,true,2
217,indonesia tuan rumah temu tingkat bahas disabilitas,true,2
218,juni 2022 fsp parekraf kspsi gelar munas bal gaung tema indonesia sehat pariwisata bangkit,true,2
219,menteri atr bpn had tjahjanto janji berantas mafia tanah netizen senang menteri langsung kerja,true,2
220,megawati paspampres badan tegap jokowi,true,2
221,puluh juta kendara bayar pajak data hapus bodong,true,2
222,kantor layan pajak kpp pratama jakarta mampang prapatan buka sosialisasi gedung transmedia juni 2022,true,2
223,server ppdb sulsel jalur boarding school panjang juni,true,2
224,polisi tangkap edar ukui pelalawan sabu pasok pekanbaru,true,2
225,kerja rangka usung capres cawapres,true,2
226,ditjen imigrasi deportasi mitsuhiro taniguchi kait tipu bansos jepang,true,2
227,puan maharani puji megawati acara rakernas pdip puan nilai puji sinyal dukung maju 2024,true,2
228,detikcom adil negeri surabaya izin nikah beda agama pasang islam kristen alas,true,2
229,tolak keras ppp buruh gugat kamis,true,2
230,viral gadis kena stroke keluh dengung telinga sebab earphone jelas dokter saraf,true,2
231,proyek jembatan gatsu timur target rampung desember,true,2
232,wabup hadir acara monitoring pbi jawa timur,true,2
233,presiden joko widodo anggar tahan pangan capai rp92 triliun 2022 hasil konkret jokowi ultimatum hasil belikan beras,true,2
234,litbang kompas rilis survei tingkat puas publik perintah presiden jokowi wapres ruf amin hasil turun,true,2
235,pakar sebut susah lurus jari alias kontraktur dupuytren tanda tanda gejala kolesterol dokter beber fakta fakta,true,2
236,drama sandera uang dprd riau henti hardianto emosi pakai hati regulasi,true,2
237,eks mendag lutfi penuh panggil jagung periksa kait ekspor bahan baku minyak goreng,true,2
238,pemprov dki gratis tarif angkut transjakarta mrt lrt besok tarif khusus laku hut dki jakarta 495 juni,true,2
239,anggota dprd dki fraksi gerindra nilai dinas parekraf colong bungkus night polisi sebut bungkus night prostitusi,true,2
240,perintah desa tuntut inovasi,true,2
241,indonesia juang penting nelayan sidang wto subsidi ikan ilegal hapus,true,2
242,grace natalie partai dukung gubernur dki jakarta anies baswedan maju capres milu 2024,true,2
243,menteri tani syahrul yasin limpo heran harga cabai bawang merah lonjak pasal stok cabai tani golong aman,true,2
244,sby pamer lukis karya acara kenang almarhumah ani yudhoyono,true,2
245,warga temu tas plastik isi bayi tinggal bangku warung kopi warkop kawasan desa nambuhan camat purwodadi grobogan sore,true,2
246,pilih juli calon rektor unri tempur,true,2
247,menteri tani syahrul yasin limpo heran harga cabai bawang merah lonjak pasal stok cabai tani golong aman,true,2
248,sangka sopir bus maut tahan,true,2
249,grace natalie partai dukung gubernur dki jakarta anies baswedan maju capres milu 2024,true,2
250,perintah arab saudi sita main pakai benda warna pelangi upaya tolak ada lgbt,true,2
251,lantik urus hmi cabang pulau meranti pesan wabup asmar,true,2
252,raya idul adha bulan umat muslim anjur beli sapi kambing domba hewan kurban,true,2
253,mobil chevrolet ambulans angkut jenazah tabrak medan akibat jenazah bawa ambulans pental pintu,true,2
254,tum ahy kenang sosok sang ibunda rindu ani yudhoyono 000 almarhumah pulang keluarga tata hati rasa duka dalam,true,2
255,indonesia hadap 855 jadi bencana alam januari,true,2
256,menag puji wali kota semarang dukung revitalisasi kua,true,2
257,dirjen who thedros adanom ghebreyesus yogyakarta datang thedros hadir temu menkes g20 senin,true,2
258,komplit akun whatsapp intai orang gejala tips aman,true,2
259,forum selamat hutan jawa tolak lahan hutan jawa objek reforma agraria,true,2
260,jalan licin truk pakan lele guling tanjak sumbersari,true,2
261,tenda tenda arafah alas karpet,true,2
262,manfaat manfaat jalan kaki sehat,true,2
263,kawan tandem muhaimin iskandar pilpres 2024 sinyal pkb,true,2
264,kades torjunan sampang tinggal misterius pilih baca minggu 2022,true,2
265,bangun tol kawasan puncak timbul lingkung,true,2
266,tinjau progres baik jembatan gantung kemuning bupati wardan,true,2
267,bonus persen gaji hitung,true,2
268,147 ribu jamaah haji madinah,true,2
269,islam solusi tawar agam problem dunia modern sekularisasi,true,2
270,munas harap pdip tetap ganjar puan presiden wakil presiden 2024,true,2
271,ketua pdi juang megawati soekarnoputri ketua dpr puan maharani saran wali kota solo gibran rakabuming maju pilgub,true,2
272,didik politik penuh hak politik disabilitas,true,2
273,israel warga jaga,true,2
274,vinicius junior tolak main inggris pilih real madrid,true,2
275,pks bahas peluang koalisi capres 2024,true,2
276,aju tawar frenkie jong,true,2
